,Beta_w,r_b,weight
623,1.508299035,1.524800277,0.000299694
624,1.267588471,1.61241596,0.000937312
625,8.910318557,1.435957462,0.000936984
626,1.468782284,1.450068222,0.000260545
627,1.420540393,1.490786924,0.000319923
628,1.345267211,1.656985899,0.000373375
629,1.54615974,1.354430215,0.000551926
630,1.792843293,1.429855404,0.000308596
631,1.573453072,1.352100476,0.000567552
632,1.28511128,1.982199818,0.000736021
633,7.283109717,1.32385022,0.000567204
634,1.399525341,1.645541626,0.00042037
635,1.388511373,1.449016354,0.000423887
636,8.381256136,1.407102877,0.000990467
637,1.853791202,1.435825659,0.000491686
638,1.775298065,1.414517726,0.000336305
639,1.477641261,1.481441746,0.000276671
640,1.376622736,1.883267182,0.000768465
641,8.574854858,1.384202655,0.000931737
642,1.288146954,1.773486184,0.000645888
643,1.364555648,1.779693874,0.001104689
644,1.610351728,1.43524742,0.000284551
645,1.444728217,1.496177303,0.000322969
646,1.400590049,1.531406229,0.000906057
647,1.564880465,1.328269373,0.000535482
648,1.466619007,1.489713619,0.00035568
649,7.731179679,1.462624025,0.000745502
650,1.390859379,1.704395617,0.000414108
651,7.568258421,1.418701943,0.000634598
652,1.275300909,1.901414041,0.000634839
653,2.251953186,1.372085775,0.000482248
654,4.843252655,1.422235439,0.000719107
655,8.629140852,1.479139135,0.001277325
656,1.632289262,1.439275706,0.000429915
657,1.299352655,1.725853022,0.000616209
658,1.606194454,1.463036856,0.000397585
659,1.590529722,1.317482896,0.000358027
660,1.829632246,1.468735577,0.000321191
661,8.168612612,1.361205899,0.000654205
662,1.329424236,1.572798867,0.000511032
663,2.105711456,1.276292483,0.001315789
664,1.323194808,1.760898117,0.001466341
665,8.099718924,1.54651222,0.000885189
666,1.405793084,1.659758577,0.000363301
667,1.453165666,1.567097566,0.00029216
668,9.289819829,1.656758774,0.001306687
669,1.44291915,1.586138582,0.000338709
670,1.478380058,1.459272786,0.000295281
671,1.571348889,1.544327616,0.000454616
672,1.318551809,1.664735322,0.000357426
673,1.424555958,1.424690098,0.000505767
674,1.378532752,1.653247093,0.000553001
675,1.267751824,1.613020477,0.000698465
676,1.467640886,1.426948373,0.00030564
677,1.454524906,1.620733387,0.000300183
678,1.570094022,1.430291023,0.000694878
679,8.560775345,1.322269133,0.000806072
680,1.486957245,1.599468637,0.0003033
681,1.270745324,2.001034865,0.000747406
682,1.401236313,1.729349908,0.000368088
683,1.473515088,1.442583658,0.000354309
684,1.376302705,1.503439889,0.00030519
685,1.610315915,1.434759275,0.000306944
686,1.392675002,1.54567572,0.00034325
687,1.511429014,1.669155982,0.000307909
688,9.723727015,1.497792561,0.00200626
689,1.470811685,1.56828991,0.000351964
690,1.400119611,1.547739503,0.000786334
691,1.495618373,1.486240882,0.000320111
692,1.488501398,1.632776881,0.000391061
693,6.268585568,1.373196108,0.00065028
694,2.722995,1.300319855,0.000407857
695,1.606741353,1.463939224,0.000359261
